,specialStudents_girls,cursosComunitarios,workingComputers,meanAge_4,meanAge_1,meanAge_2,numberCT,totalBoys,brokenWC,classSize_6,wallMaterial,computerGov,classSize_4,v_phoneService,totalWC,meanAge_3,margina,totalGirls,p_mat_std,cct
201,0.0,1.0,0.341666669,9.0,6.625,7.666666499999999,1,3.875,3.25,3.0,0.89999998,0.0,4.1666665,0,0.0,8.75,2,2.5,-0.55325264,05KPR0080D
202,0.0,1.0,350.2,9.0,6.3333335,7.0,1,2.0,500.8,2.0,0.89999998,0.2,2.0,0,0.0,8.5,2,0.66666669,0.16414252,05KPR0082B
203,0.0,1.0,399.85,8.75,7.179999799999999,7.0,1,1.8571428,1.0,3.0,0.89999998,0.0,3.5,0,2.0,8.416667,3,3.4285714999999994,-1.0570536,05KPR0093H
204,0.0,1.0,200.466666669,8.75,6.8916664,6.833333500000001,1,3.0,3.0,3.0,0.89999998,0.0,2.5714285,0,2.0,8.6999998,2,2.875,-0.60893118,05KPR0099B
205,0.0,1.0,1.0,9.0,6.3333335,7.0555553,1,4.625,0.0,3.8571428999999995,0.89999998,0.0,4.5,0,1.0,8.199999799999999,2,3.25,-0.75823426,05KPR0104X
206,0.0,1.0,1.0,13.0,8.25,8.333333,3,2.0,1.0,3.3333333,0.89999998,0.0,3.0,0,3.0,9.0,2,4.3333335,0.98258889,05KPR0136P
207,0.0,1.0,100.8,9.118000030000001,7.166666499999999,7.0,2,2.6666667,1.95,2.18333333,0.5,0.0,2.475,0,0.0,8.5,2,1.0,-1.349928,05KPR0157B
208,0.0,1.0,350.05,9.0,6.375,7.0,1,3.125,200.8,4.5,0.5,0.0,4.0,0,0.0,8.125,2,3.375,-0.46851066,05KPR0164L
209,0.0,1.0,200.45,9.1999998,7.25,7.130000099999999,2,4.0,1.0,3.5714285000000006,0.89999998,0.0071428575,6.0,0,6.0,8.805555300000002,2,4.875,-1.0030509,05KPR0189U
210,0.0,1.0,0.7,9.0,6.5416665,6.875,2,2.5,334.0,3.82499999,0.89999998,0.166666669,3.0,0,3.0,8.583333,2,2.8333333,-0.65298247,05KPR0201Z
211,0.0,1.0,0.9,9.0666666,6.708333500000001,7.1999998,1,4.625,1.0,5.0,0.5,0.0,5.3333335,0,2.0,8.583333,2,4.0,-1.1651087,05KPR0214C
212,0.0,1.0,0.9,10.166667,6.25,7.0,3,3.8333333,1.95,2.5,0.7899999860000001,0.0,3.6666667,0,0.8,9.666667,2,1.0,-0.31595099,05KPR0219Y
213,0.0,1.0,200.2,8.75,6.1666665,7.0,2,4.25,0.0,5.0,0.89999998,0.6,4.5,1,3.0,7.75,2,2.75,-1.6885409,05KPR0232S
214,0.0,1.0,0.9,9.0,6.0,7.0,1,5.0,2.0,6.0,0.89999998,0.0,4.0,0,2.0,8.0,2,3.0,-1.0617908999999999,05KPR0243Y
215,0.0,1.0,0.0,8.333333,6.4000001,7.0,2,2.125,2.0,3.3333333,0.89999998,0.66666669,2.0,0,2.0,8.0,2,1.875,-0.68750101,05KPR0252F
216,0.0,1.0,0.45,9.0,6.177777799999999,7.111111200000001,2,5.875,1999.0,4.0,0.5,0.2,5.0,0,2.0,8.1428576,3,3.625,-0.02141084,05KPR0275Q
217,0.0,1.0,100.640000001,9.571428300000001,5.722222299999999,6.9047618,2,4.0,201.1,2.5,0.520000002,0.160000002,3.8571428999999995,0,0.7,8.5,2,3.75,-1.2470911,05KPR0291H
218,0.0,1.0,200.55,9.0,6.0,7.166666499999999,3,3.125,1049.9,2.8333333,0.89999998,0.0,3.8333333,0,0.0,8.2380953,1,4.0,-0.2714442,05KPR0292G
