,cistern,workingComputers,directivesTeachers,classSize_5,roomQuality,mt_readTeachers,carrMagisterial,meanAge_2,classSize_6,students1,nivelCarrMagis,sexRatio_students,mt_speakStaff,meanAge_3,classSize_prim,graduateTeachers,margina,mt_readStaff,totalGirls,totalTeachers,preschoolAttendance,disabilitiesStudents,extraFacilities,safety,p_mat_std,cct
2625,1.0,0.91666669,1.0,7.875,1.4,1.0,0.0,8.2175102,8.0,10.875,0.0,0.22133745,0.4375,9.0193586,9.041667,0.0,1,0.4375,24.25,0.875,0.0,0.0,1,0,-2.1879416000000003,20DPB2051D
2626,1.0,0.93333334,1.0,9.0,1.4,0.875,0.0,7.857808599999999,7.625,12.875,0.0,0.14925492,0.5625,8.944643,9.5,0.0625,2,0.5625,29.125,1.875,0.5770089,0.011801994,3,1,-0.69301927,20DPB2052C
2627,0.0,0.5,1.0,6.625,1.6,1.0,0.0,7.539285700000001,7.0,10.875,0.0,0.25404498,0.3125,9.0889606,8.1875,0.2,1,0.3125,21.875,0.625,0.21875,0.0,2,0,-1.1223518999999997,20DPB2053B
2628,0.0,0.875,1.0,5.625,1.0,0.83333331,0.0,7.9585814,5.75,9.5,0.0,0.15350108,0.375,8.8300591,6.583333500000001,0.33333334,2,0.3125,19.5,0.75,0.0,0.0,2,1,-1.6558697,20DPB2054A
2629,0.0,0.6,1.0,6.75,1.2,1.0,0.0,7.059825900000001,6.75,7.75,0.0,0.09683953199999999,0.375,8.3288193,7.354166499999999,0.33333334,0,0.375,23.75,0.75,0.98214287,0.0,2,0,0.15715598,20DPB2055Z
2630,0.0,1.0,1.0,5.5,1.4,0.0,0.0,7.034722299999999,5.625,7.25,0.0,0.15979835,0.0,8.148077,5.7380953,0.25,2,0.0,17.125,0.875,0.54285717,0.015377446999999999,1,1,-0.44271684,20DPB2058X
2631,0.0,0.630000001,1.0,2.0,1.6200000000000003,0.0,0.0,7.166666499999999,1.25,0.75,0.0,0.22916667,0.0,8.0,1.9444443999999999,0.4,1,0.0,2.375,0.0,0.5,0.016666668,1,0,-1.3124938999999998,20DPB2061K
2632,1.0,0.645833334,1.0,6.125,2.0,0.85714287,0.0625,7.111111200000001,5.5,7.5,0.0625,0.16962558,0.375,8.1284723,6.6041669999999995,0.0,2,0.375,17.375,0.875,0.75489271,0.052138999000000005,5,4,-0.88048816,20DPB2063I
2633,0.0,0.5,1.0,8.0,2.0,1.0,0.0,7.8965645,6.625,9.875,0.0,0.27154234,0.29166666,8.785355599999999,8.270833,0.40000001,2,0.29166666,15.0,0.625,0.24005681,0.007416855500000001,1,0,-0.44431835,20DPB2065G
2634,0.0,0.816666669,1.0,3.0,1.0,0.0,0.0,7.4666667,3.3341666700000006,6.0,0.0,0.075778395,0.0,8.2238092,3.2080158599999997,0.2,0,0.0,8.75,0.0,0.875,0.0,1,0,0.19669528,20DPB2068D
2635,1.0,1.0,1.0,12.75,1.6,1.0,0.0,7.115603900000001,11.25,14.125,0.0,0.06266474,0.41666669,8.1549549,13.270832999999998,0.5625,1,0.41666669,37.625,1.25,1.0,0.0,2,0,-0.79011047,20DPB2069C
2636,1.0,0.44166666899999996,1.0,11.5,2.0,0.77777779,0.0,7.468254099999999,10.125,15.375,0.0,0.086895019,0.45833334,8.5796967,12.6875,0.16666667,1,0.45833334,38.25,2.0,0.31433824,0.0039682542,2,1,-1.726019,20DPB2071R
2637,0.0,0.55,1.0,5.0,1.2,1.0,0.0,8.2639837,6.5,7.625,0.0,0.14722112,0.25,8.7859125,6.1458335,0.0,1,0.25,18.0,0.5,0.0,0.0,1,2,-1.7192453,20DPB2072Q
2638,0.0,0.0,1.0,14.375,2.0,0.83333331,0.0,7.3978767,11.75,17.5,0.0,0.15145475,0.22916667,8.700939199999999,15.125,0.0,1,0.22916667,47.75,1.0,0.83238637,0.0041364734,1,0,-1.4081473,20DPB2074O
2639,1.0,0.0,1.0,5.5,1.6,1.0,0.0,7.448660899999999,5.375,6.25,0.0,0.089980006,0.4375,8.65625,5.3333335,0.0,1,0.4375,17.75,0.875,0.57291669,0.032812499,1,1,0.0060915039,20DPB2075N
2640,0.0,1.0,1.0,3.625,2.0,0.0,0.0,8.072917,3.375,3.0,0.0,0.34999999,0.0,8.8520832,3.25,0.41,1,0.0,7.75,0.0,0.0625,0.0083333338,1,2,-1.0173113,20DPB2077L
2641,0.0,0.18333333400000001,1.0,3.5,2.0,1.0,0.0,7.302381,3.375,3.875,0.0,0.13286714,0.0625,8.7104168,3.8125,0.0,2,0.0625,11.5,0.125,0.83214283,0.0125,1,0,-1.0025339,20DPB2078K
2642,0.0,1.0,1.0,6.125,1.2,1.0,0.0,7.876686599999999,6.0,8.5,0.0,0.14183611,0.375,9.015873,7.3333330000000005,0.0,1,0.375,23.25,0.75,0.0,0.0,1,0,-0.7551386999999999,20DPB2081Y
2643,0.0,0.7,1.0,5.25,2.0,0.33333334,0.0,7.852335000000001,5.375,7.75,0.0,0.16171414,0.0625,9.257532099999999,6.3333335,0.0,1,0.0625,16.375,0.375,0.0,0.0049999999,0,0,-1.0187302,20DPB2084V
2644,0.0,0.2,1.0,10.125,1.4,0.9375,0.072916672,7.451632000000001,9.25,12.125,0.072916672,0.14280599,0.5625,8.589263,10.375,0.4375,4,0.5625,29.125,2.0,0.46655601,0.0,2,0,-0.21204175,20DPB2087S
2645,0.0,1.0,1.0,4.625,1.8,1.0,0.0,7.367261900000001,5.25,8.5,0.0,0.13558139,0.4375,8.4017859,5.7708330000000005,0.0,1,0.4375,19.125,0.5,0.013888889,0.0,2,3,-0.44553047,20DPB2094B
2646,0.0,0.500000003,1.0,7.5,1.2,0.75,0.0,7.7455993,5.75,10.625,0.0,0.27868056,0.20833334,9.3681049,9.541667,0.25,1,0.20833334,26.25,0.75,0.96657753,0.0,0,0,-1.8536996,20DPB2095A
2647,0.0,1.0,1.0,2.375,2.0,0.0,0.0,7.431250099999999,2.4285715,5.125,0.0,0.15996261,0.0,8.552083,2.9285715,0.043125001,1,0.0,9.5,0.0,0.0,0.0,2,1,-1.4089593999999999,20DPB2096Z
2648,0.0,1.0,1.0,12.25,1.4,0.95833331,0.28125,7.151921300000001,12.125,10.375,0.34375,0.065585978,0.66666669,8.116152799999998,10.604167,0.16666667,2,0.66666669,29.25,2.5,0.93181819,0.0020491802,2,0,-0.27596259,20DPB2097Z
2649,0.0,0.0,1.0,4.0,1.6,0.0,0.0,7.3625002,4.25,3.5,0.0,0.16832161,0.0,8.483036,4.0,0.0,2,0.0,11.125,0.0,0.028571429,0.02128483,1,2,-1.4049120000000002,20DPB2098Y
2650,0.0,0.0,1.0,5.875,2.0,0.75,0.0,7.509375099999999,5.875,7.625,0.0,0.13900566,0.1875,9.0791664,6.3125,0.0,2,0.1875,20.25,0.5,0.47499999,0.010069445,1,0,0.24086732,20DPB2099X
2651,0.0,1.0,1.0,5.4285712,1.6,0.0,0.0,7.4880952999999995,5.4285712,4.125,0.0,0.09856151,0.0,8.3857145,6.833333500000001,0.12,1,0.0,12.125,0.0,0.33333334,0.0,0,3,-0.21835992,20DPB2101V
2652,0.0,0.6357142870000001,1.0,7.875,1.2,0.89999998,0.0,7.9406452000000005,7.625,9.25,0.0,0.10316522,0.35416669,8.743533099999999,8.416667,0.1,1,0.35416669,24.75,1.125,0.43589744,0.0044779545,2,2,-0.84335381,20DPB2102U
