Total,cct
-2.0,24PPR0293P
-2.0,23PPR0165V
-2.0,30PPR3598M
-2.0,21PPR0859F
-2.0,15PPR0051K
-2.0,16PPR0223L
-2.0,16PPR0269G
-2.0,30PPR3455P
-2.0,11PPR1017O
-2.0,21PPR0946A
-2.0,16PPR0027J
-2.0,30PPR2729H
-2.0,21PPR1047P
-2.0,02PPR0167G
-2.0,32PPR0090C
-2.0,29PPR0088A
-2.0,21PPR0649A
-2.0,02PPR0165I
-2.0,26PPR0166R
-2.0,21PPR1070Q
-2.0,15PPR3240X
-2.0,31PPR0213X
-2.0,15PPR2970D
-2.0,19PPR0942Q
-2.0,15PPR3704N
-2.0,09PPR1205T
-2.0,16PPR0157C
-2.0,25PPR0157K
-2.0,11PPR1003L
-2.0,04PPR0059X
-2.0,15PPR3362H
-2.0,21PPR0740I
-2.0,15PPR3359U
-2.0,19PPR0982R
-2.0,15PPR3700R
-2.0,02PPR0380Z
-2.0,30PPR3693Q
-2.0,24PPR0040M
-2.0,11PPR0024R
-2.0,16PPR0175S
-3.0,15PPR3744O
-3.0,21PPR1133L
-3.0,30PPR3539X
-3.0,16PPR0169H
-3.0,15PPR3649K
-3.0,15PPR0850D
-3.0,15PPR3573L
-3.0,21PPR0989Z
-3.0,11PPR0892G
-3.0,21PPR1113Y
-3.0,11PPR0564N
-3.0,14PPR0567H
-3.0,30PPR3665U
-3.0,07PPR0535F
-3.0,11PPR0031A
-3.0,23PPR0050U
-3.0,11PPR1026W
-3.0,30PPR3502J
-3.0,27PPR0087D
-3.0,30PPR3483L
-3.0,11PPR0015J
-3.0,09PPR1238K
-3.0,21PPR0986B
-3.0,20PPR0053U
-3.0,30PPR3617K
-3.0,10PPR0255J
-3.0,07PPR0147O
-3.0,24PPR0210Q
-3.0,11PPR0878N
-3.0,11PPR0140H
-3.0,15PPR3113A
-3.0,30PPR3623V
-3.0,11PPR0142F
-3.0,14PPR0118C
-3.0,11PPR0125P
-3.0,11PPR0205A
-3.0,19PPR0924A
-3.0,15PPR3600S
-3.0,24PPR0382I
-3.0,08PPR0632G
-3.0,15PPR3688M
-3.0,15PPR3690A
-3.0,02PPR0370S
-3.0,17PPR0310F
-3.0,17PPR0103Y
-3.0,05PPR0106Q
-4.0,30PPR0207N
-4.0,14PPR0737L
-4.0,19PPR0977F
-4.0,16PPR0134S
-4.0,29PPR0170A
-4.0,16PPR0138O
-4.0,05PPR0347O
-4.0,19PPR0911X
-4.0,08PPR2052N
-4.0,29PPR0098H
-4.0,07PPR0556S
-4.0,14PPR1522S
-4.0,11PPR0960N
-4.0,14PPR0651F
-4.0,14PPR1405C
-4.0,09PPR1611Z
-4.0,09PPR1678H
-4.0,08PPR0514S
-4.0,27PPR0110O
-4.0,27PPR0132Z
-4.0,13PPR0110L
-4.0,08PPR1813X
-4.0,08PPR2074Z
-4.0,21PPR1099V
-4.0,31PPR0369Y
-4.0,29PPR0021T
-4.0,14PPR0405W
-4.0,27PPR0035Y
-4.0,29PPR0079T
-4.0,13PPR0051M
-4.0,27PPR0118G
-4.0,14PPR0403Y
-4.0,05PPR0037K
-4.0,24PPR0299J
-4.0,05PPR0117W
-4.0,16PPR0364K
-4.0,09PPR1314Z
-4.0,13PPR0303Z
-4.0,05PPR0131P
-4.0,28PPR0282F
-4.0,09PPR1138L
-4.0,26PPR0253M
-4.0,15PPR2585J
-4.0,15PPR3478H
-4.0,12PPR0359C
-4.0,17PPR0040C
-4.0,15PPR3316W
-4.0,30PPR3576A
-4.0,12PPR0265O
-4.0,16PPR0302Y
-4.0,13PPR0289X
-4.0,24PPR0362V
-4.0,30PPR3685H
-4.0,02PPR0410C
-4.0,09PPR1779F
-4.0,11PPR1027V
-4.0,29PPR0003D
-4.0,31PPR0278G
-4.0,21PPR0838T
-4.0,11PPR1025X
-4.0,28PPR0297H
-4.0,28PPR0238S
-4.0,24PPR0378W
-4.0,14PPR0223N
-4.0,15PPR2215R
-5.0,28PPR0288Z
-5.0,15PPR3703O
-5.0,25PPR0152P
-5.0,27PPR0033Z
-5.0,30PPR3625T
-5.0,23PPR0001L
-5.0,30PPR3675A
-5.0,21PPR0458K
-5.0,13PPR0114H
-5.0,13PPR0337Q
-5.0,09PPR1675K
-5.0,26PPR0202F
-5.0,11PPR1036C
-5.0,21PPR1124D
-5.0,15PPR2895N
-5.0,26PPR0321T
-5.0,15PPR2926Q
-5.0,11PPR0913C
-5.0,17PPR0301Y
-5.0,30PPR3643I
-5.0,11PPR0999Z
-5.0,14PPR1513K
-5.0,08PPR2046C
-5.0,09PPR1584T
-5.0,31PPR0313W
-5.0,31PPR0337F
-5.0,21PPR0766Q
-5.0,09PPR1558V
-5.0,15PPR3668Z
-5.0,09PPR1553Z
-5.0,16PPR0359Z
-5.0,26PPR0116J
-5.0,21PPR0773Z
-5.0,18PPR0079N
-5.0,16PPR0234R
-5.0,16PPR0393F
-5.0,22PPR0227S
-5.0,32PPR0100T
-5.0,16PPR0516Z
-5.0,11PPR0425M
-5.0,20PPR0089I
-5.0,27PPR0109Z
-5.0,28PPR0249Y
-5.0,22PPR0066W
-5.0,14PPR0886T
-5.0,15PPR3200W
-5.0,14PPR0024O
-5.0,30PPR3721W
-5.0,27PPR0103E
-5.0,20PPR0122Z
-5.0,16PPR0261O
-5.0,16PPR0423J
-5.0,08PPR1876I
-5.0,22PPR0040O
-5.0,11PPR0969E
-5.0,09PPR0493V
-5.0,16PPR0139N
-5.0,01PPR0020O
-5.0,16PPR0118A
-5.0,09PPR1701S
-5.0,21PPR0550R
-5.0,08PPR0771H
-5.0,16PPR0044Z
-5.0,11PPR1030I
-5.0,24PPR0227Q
-5.0,24PPR0037Z
-5.0,13PPR0014I
-5.0,14PPR1440I
-5.0,13PPR0288Y
-5.0,06PPR0048P
-5.0,25PPR0027R
-5.0,15PPR3682S
-5.0,16PPR0055F
-5.0,17PPR0383Y
-5.0,16PPR0521K
-6.0,27PPR0053N
-6.0,29PPR0187A
-6.0,12PPR0399D
-6.0,14PPR0151K
-6.0,08PPR2000H
-6.0,15PPR3708J
-6.0,21PPR0965P
-6.0,15PPR3237J
-6.0,21PPR0750P
-6.0,14PPR1045H
-6.0,15PPR2876Z
-6.0,23PPR0147F
-6.0,11PPR0964J
-6.0,28PPR0287A
-6.0,28PPR0172Z
-6.0,29PPR0132Y
-6.0,21PPR0863S
-6.0,21PPR0849Z
-6.0,30PPR3672D
-6.0,29PPR0165P
-6.0,13PPR0336R
-6.0,11PPR1063Z
-6.0,16PPR0529C
-6.0,30PPR6354L
-6.0,16PPR0507R
-6.0,21PPR1030P
-6.0,09PPR1823C
